id,ime_aktivnosti,datum_aktivnosti,trajanje_aktivnosti,st_prev_km,skupen_vzpon,kalorije,povprecna_hitrost,povprecna_kadenca,maksimalna_kadenca
1,cycling,2016-06-28,179.16666666666666,46.97096617297861,109.80001831054688,0,32.11612248003501,0,0
2,cycling,2015-03-14,237.21666666666667,94.9469736149516,207.6000061035156,0,28.559356719177504,0,0
3,cycling,2014-06-24,94.56666666666666,36.92494307694445,133.60000610351562,0,29.640825760830143,0,0
4,cycling,2014-04-27,69.26666666666667,39.95148675487225,27.600006103515625,0,37.4293127762004,0,0
5,cycling,2013-12-28,49.48333333333333,2.9396561752297234,10.800003051757812,0,4.37314266276044,0,0
6,cycling,2016-03-18,136.8,72.3452444611133,184.9999847412109,0,33.05506879317004,0,0
7,cycling,2015-05-25,81.53333333333333,39.47705987902556,14.800003051757812,0,29.09752756961551,0,0
8,cycling,2016-06-12,200.0,97.008053071511,265.6000061035156,0,29.12111895299897,0,0
9,cycling,2016-05-27,95.68333333333334,52.607820365991294,23.39999389648437,0,33.0553754081192,0,0
10,cycling,2016-08-09,157.01666666666668,79.58614983629754,29.20001220703125,0,31.009977290837544,0,0
11,cycling,2015-07-29,104.8,60.74200557769903,24.80000305175781,0,38.38107500270205,0,0
12,cycling,2014-05-07,165.45,80.3368565829975,238.6000061035156,0,33.58436123915632,0,0
13,cycling,2016-06-21,198.28333333333333,75.8029095933709,220.3999938964844,0,28.98718617221905,0,0
14,cycling,2016-05-08,188.4833333333333,56.6392406725375,260.8000183105469,0,22.825124281512107,0,0
15,cycling,2015-03-06,67.55,32.92667792469252,23.59999990463257,0,29.63595292510569,0,0
16,cycling,2016-06-02,111.85,63.808155566577696,81.19999694824219,0,34.23180708535297,0,0
17,cycling,2015-09-16,99.25,48.281673887509385,142.00001525878906,0,29.32289376253076,0,0
18,cycling,2016-04-20,236.9333333333333,109.68039367685512,219.79999542236328,0,32.749579303895935,0,0
19,cycling,2014-10-05,52.68333333333333,32.560559285273655,116.60000610351562,0,36.35616559247759,0,0
20,cycling,2015-07-01,138.08333333333334,66.79710426044323,704.0000305175781,0,29.5769373051383,0,0
21,cycling,2014-04-29,144.56666666666666,60.26454359810292,308.79998779296875,0,28.50446891652992,0,0
22,cycling,2016-07-06,295.6,131.75255505962906,141.60000610351562,0,29.67782973796219,0,0
23,cycling,2016-05-11,84.55,45.24595091588914,28.59999084472656,0,32.207667396182245,0,0
24,cycling,2014-04-22,162.91666666666666,57.14433237003454,50.19999694824219,0,28.9573394424736,0,0
25,cycling,2014-07-09,65.01666666666667,32.73980577939484,13.599990844726562,0,31.82154432223192,0,0
26,cycling,2016-04-29,217.5833333333333,94.04676226186284,214.1999969482422,0,27.808661025679942,0,0
27,cycling,2014-09-29,51.266666666666666,20.23651436913657,9.599998474121094,0,30.562049344555867,0,0
28,cycling,2014-05-25,138.76666666666668,92.37158445077722,86.800048828125,0,40.260147708898,0,0
29,cycling,2014-07-18,242.55,101.54967046775585,986.2000427246094,0,27.253648681519856,0,0
30,cycling,2016-06-22,188.66666666666663,91.20411842686693,181.6000061035156,0,30.78055024708941,0,0
31,cycling,2014-09-27,33.0,19.87492005390517,10.800003051757812,0,36.86281073244262,0,0
32,cycling,2014-08-10,693.7833333333333,117.74785571785412,153.79998779296875,0,32.495835507201136,0,0
33,cycling,2015-03-18,125.1,57.815217098400446,117.1999969482422,0,28.560290559327925,0,0
34,cycling,2015-08-24,49.2,24.51375393901335,17.199996948242188,0,30.17049197338589,0,0
35,cycling,2014-05-24,52.8,25.26116972038724,15.600006103515623,0,35.22217311297464,0,0
36,cycling,2016-08-21,225.6,107.1995001637339,167.80001831054688,0,28.672111339763106,0,0
37,cycling,2016-04-07,198.91666666666663,101.88870669011348,157.99998474121094,0,34.8993200287394,0,0
38,cycling,2015-12-31,95.41666666666669,0.4795452421255462,10.599998474121094,0,1.4478402511104649,0,0
39,cycling,2014-03-13,153.71666666666667,61.72002436894646,89.80000305175781,0,26.8724620534778,0,0
40,cycling,2016-05-25,242.1,123.51779992682144,225.0,0,31.0337893109352,0,0
41,cycling,2016-07-16,121.53333333333332,66.05509939255475,37.79999542236328,0,32.62141022575635,0,0
42,cycling,2014-09-13,527.9333333333333,94.02043406516516,166.0,0,28.563952627508005,0,0
43,cycling,2013-11-02,118.05,31.325686277764685,55.0,0,29.0569030467412,0,0
44,cycling,2014-02-24,148.13333333333333,68.03177971763631,248.0000030994416,0,29.356882727753256,0,0
45,cycling,2014-05-02,171.36666666666667,66.6490168989522,33.40000915527344,0,30.59617635092786,0,0
46,cycling,2014-02-23,279.46666666666664,108.13209771837954,122.4000015258789,0,27.45194453014152,0,0
47,cycling,2016-08-23,193.85,87.73913403800192,48.59999847412109,0,29.33921620471901,0,0
48,cycling,2016-06-07,130.73333333333332,74.42097953353027,26.0,0,34.11609926905444,0,0
49,cycling,2016-07-19,196.51666666666668,85.12432884034185,182.40000915527344,0,30.840066291070897,0,0
50,cycling,2014-08-23,110.68333333333334,71.12868185953336,265.20001220703125,0,54.638832593828816,0,0
51,cycling,2015-08-01,1291.7333333333331,79.62081910707745,58.20001220703125,0,39.72428951543986,0,0
52,cycling,2015-06-17,252.31666666666663,110.8797325322119,306.00001525878906,0,30.037725466807576,0,0
53,cycling,2016-06-01,181.41666666666663,99.26165178314608,136.1999969482422,0,34.746969239977844,0,0
54,cycling,2015-07-30,86.9,39.77510910605746,21.40000915527344,0,28.12053679645076,0,0
55,cycling,2016-05-01,174.0,81.37403877188866,144.79998779296875,0,28.42232774683181,0,0
56,cycling,2014-05-17,135.6,64.866586549863,130.39999389648438,0,28.79760387892247,0,0
57,cycling,2016-04-17,118.8,69.25846013419807,141.39999389648438,0,35.91737305973229,0,0
58,cycling,2013-10-01,171.16666666666666,68.80482805475671,62.80000305175781,0,30.2434460357078,0,0
59,cycling,2016-08-16,113.58333333333331,60.46203642995589,131.80001831054688,0,32.16444493203918,0,0
60,cycling,2013-10-29,38.41666666666666,20.948552735080145,34.79998779296875,0,32.418285771150934,0,0
61,cycling,2016-08-27,66.71666666666667,20.79531601921719,43.400001525878906,0,21.86544397491159,0,0
62,cycling,2015-07-24,77.5,31.10901159756714,48.59999084472656,0,28.685068050087445,0,0
63,cycling,2016-05-07,141.91666666666666,47.32805954417027,39.0,0,21.709938266181,0,0
64,cycling,2016-04-24,98.5,57.762995336046,122.0,0,36.04363035673976,0,0
65,cycling,2014-02-15,16.9,9.283878046141435,22.0,0,32.86504203768308,0,0
66,cycling,2015-03-17,88.03333333333333,46.58093387064663,22.0,0,37.851703036030514,0,0
67,cycling,2014-08-30,81.4,60.02524591752898,74.19999694824219,0,69.3156953671476,0,0
68,cycling,2015-04-08,98.48333333333332,45.36869358263411,142.79998779296875,0,28.22551117068984,0,0
69,cycling,2014-04-21,36.98333333333333,18.438866195119928,17.399993896484375,0,29.89265772200712,0,0
70,cycling,2015-07-15,81.41666666666667,34.31749784865126,271.80000019073486,0,26.02508760044284,0,0
71,cycling,2016-04-13,108.96666666666668,56.03706144678648,60.20001220703125,0,31.66857641594612,0,0
72,cycling,2016-04-06,110.55,51.26084180346546,27.199996948242188,0,31.47292708460366,0,0
73,cycling,2016-04-03,373.31666666666666,173.2944868450628,603.0,0,29.75496529083219,0,0
74,cycling,2016-04-15,79.18333333333334,33.339098335115494,23.199996948242188,0,30.29370585734833,0,0
75,cycling,2015-09-01,114.36666666666666,43.76580430357905,10.800003051757812,0,25.40935927817985,0,0
76,cycling,2016-02-24,186.85,100.48647064062366,249.8000059127808,0,32.52613856112418,0,0
77,cycling,2013-09-13,160.76666666666668,47.00775859050481,14.800003051757812,0,24.89438382605735,0,0
78,cycling,2016-08-19,52.45,24.27244622263043,17.399993896484375,0,27.773598934241537,0,0
79,cycling,2015-04-21,159.15,69.38961877936875,362.7999725341797,0,31.03681904826796,0,0
80,cycling,2014-02-25,296.26666666666665,106.52884668528772,377.7999938726425,0,25.968513716005287,0,0
81,cycling,2016-05-15,376.8666666666667,169.57276596978355,702.1999816894531,0,27.968460549009823,0,0
82,cycling,2016-05-10,72.03333333333333,35.559256333907406,16.199996948242188,0,29.63122147201984,0,0
83,cycling,2015-05-19,183.28333333333333,77.62130696682924,355.79998779296875,0,27.90620295296724,0,0
84,cycling,2015-07-19,187.31666666666663,78.32553771511375,133.39999389648438,0,27.93444699069416,0,0
85,cycling,2015-04-22,54.18333333333333,24.573964220809653,14.20000457763672,0,28.34930812307246,0,0
86,cycling,2015-07-26,211.15,93.98487918744992,256.2000064849853,0,29.74517304493576,0,0
87,cycling,2016-06-19,145.63333333333333,71.70869159535116,63.19999694824219,0,30.15712609551429,0,0
88,cycling,2014-03-28,62.46666666666667,24.10865446840335,24.80000305175781,0,27.995090053654028,0,0
89,cycling,2016-06-25,58.31666666666667,26.47233277242972,10.400009155273438,0,27.23267612600406,0,0
90,cycling,2014-08-02,50.1,19.33536948689632,19.600006103515625,0,33.96918541456637,0,0
91,cycling,2016-05-18,196.7,94.58938265068136,236.40000915527344,0,34.35876260224036,0,0
92,cycling,2014-05-06,212.1833333333333,58.99565421613095,45.19999694824219,0,26.989836142457843,0,0
93,cycling,2016-09-04,350.25,195.86133398445585,77.5999755859375,0,42.09623133485377,0,0
94,cycling,2015-08-30,127.6,76.54915332562963,22.39999389648437,0,40.05766067090873,0,0
95,cycling,2014-06-29,136.8,56.280941537418,188.0,0,32.01041433142224,0,0
96,cycling,2014-03-05,118.35,55.27555928842524,103.0,0,28.35004865184321,0,0
97,cycling,2015-07-21,225.2333333333333,82.35413663214726,51.0,0,31.26528485698193,0,0
98,cycling,2014-04-29,41.18333333333333,26.19386076508728,133.60000610351562,0,37.182569533583546,0,0
99,cycling,2015-03-07,253.63333333333333,100.79475456185052,337.0,0,27.756118680342173,0,0
100,cycling,2015-05-01,46.81666666666667,18.89873085974417,20.80000305175781,0,24.78423165942231,0,0
101,cycling,2014-07-02,131.36666666666667,46.08403297853079,39.99999237060547,0,30.68766335465353,0,0
102,cycling,2016-06-05,283.3833333333333,131.54820247578098,140.0,0,30.96116020789445,0,0
103,cycling,2014-08-16,408.25,139.219689299217,170.40000915527344,0,28.052857238882893,0,0
104,cycling,2016-03-01,171.75,92.81478126762735,142.00001525878906,0,34.00259515984201,0,0
105,cycling,2014-05-10,204.4833333333333,32.51509660694388,55.80001831054688,0,31.76586845256213,0,0
106,cycling,2014-08-13,601.1666666666666,120.71906806429791,354.79998779296875,0,29.87672495144457,0,0
107,cycling,2014-01-25,0.75,0.0341719763570942,0.1999969482421875,0,2.626067696790769,0,0
108,cycling,2014-05-09,58.06666666666667,29.49609351366473,16.0,0,30.86345376646587,0,0
109,cycling,2015-02-08,70.28333333333333,0.8444443119850118,8.599990844726562,0,0.930867373351401,0,0
110,cycling,2015-04-09,84.41666666666667,40.34707915367048,25.400001525878903,0,29.92472876857779,0,0
111,cycling,2014-08-15,199.0,69.02421140356765,207.59999084472656,0,22.993172463965827,0,0
112,cycling,2014-03-01,80.7,35.41982165191877,86.19999694824219,0,27.08432605589949,0,0
113,cycling,2016-06-03,85.61666666666666,46.40237533634824,19.199996948242188,0,32.569304079173705,0,0
114,cycling,2014-08-28,285.4166666666667,105.94122599393282,148.00000762939453,0,29.24392713324917,0,0
115,cycling,2016-05-14,117.75,44.18642076916026,96.39999389648438,0,27.187142916085907,0,0
116,cycling,2016-05-24,141.43333333333334,72.82808105421981,21.600006103515625,0,31.156789967177115,0,0
117,cycling,2015-09-06,20.183333333333334,14.835592474401109,4.5999908447265625,0,44.39058045345095,0,0
118,cycling,2016-07-07,191.45,78.31385860675547,158.1999969482422,0,25.85137769823469,0,0
119,cycling,2016-04-19,248.9333333333333,114.49836711206918,144.40000915527344,0,29.989204658981564,0,0
120,cycling,2016-02-08,158.55,70.2030400733736,152.8000030517578,0,29.82022663944804,0,0
121,cycling,2015-08-05,107.46666666666668,51.24448359003279,137.79998779296875,0,28.45144548308591,0,0
122,cycling,2016-07-30,156.76666666666668,36.10092825182264,46.600006103515625,0,22.08620519075358,0,0
123,cycling,2016-02-27,145.9,81.36496495337124,113.59999084472656,0,35.54072292248712,0,0
124,cycling,2015-06-09,63.21666666666667,29.538089773490952,28.0,0,27.99363654826069,0,0
125,cycling,2015-04-30,143.98333333333332,60.40415626845914,142.40000915527344,0,25.85926033424269,0,0
126,cycling,2016-07-14,213.61666666666667,89.68393473283584,103.8000030517578,0,26.74294552646188,0,0
127,cycling,2014-01-12,67.58333333333333,5.877130774090591,677.7999877929688,0,5.461146063430567,0,0
128,cycling,2014-10-19,76.3,53.82722441702536,56.0,0,43.75142754479968,0,0
129,cycling,2013-09-07,24.48333333333333,10.00595114043628,6.8000030517578125,0,25.630390897037465,0,0
130,cycling,2014-05-11,137.21666666666667,53.80716215973142,171.39999389648438,0,25.90091384368027,0,0
131,cycling,2015-06-24,105.15,49.30824801049098,119.5999984741211,0,29.176190591626536,0,0
132,cycling,2016-07-28,138.01666666666668,53.68218704865119,33.20001220703125,0,26.397151781547315,0,0
133,cycling,2014-03-21,185.9,74.89550957573883,105.79998779296876,0,28.061234482829143,0,0
134,cycling,2016-05-04,190.81666666666663,99.57158881023288,214.8000030517578,0,34.0713024880363,0,0
