id,ime_aktivnosti,datum_aktivnosti,trajanje_aktivnosti,st_prev_km,skupen_vzpon,kalorije,povprecna_hitrost,povprecna_kadenca,maksimalna_kadenca
1,biking,2012-06-23,54.0,8.86941015625,126.20001220703124,374,11.004756079435214,0,0
3,biking,2016-09-10,72.9,23.255080078125,154.79998779296875,585,19.51544524938232,133,133
5,biking,2016-09-03,40.75,14.74776953125,120.20001220703124,336,24.283464241087568,143,143
8,biking,2014-03-02,166.15,30.477189453125,189.20001220703125,1068,13.975790999980706,0,0
9,biking,2015-08-29,67.0,27.462359375,982.6000061035156,308,27.7016019799799,122,122
10,biking,,116.76666666666668,48.13508984375,8.20001220703125,859,0.0,139,139
11,biking,2016-05-07,285.1333333333333,94.9158828125,528.2000122070312,2195,26.502951501271287,143,143
13,biking,2016-09-29,81.53333333333333,5.00752978515625,521.7999877929688,441,4.2570636153836,0,0
14,biking,2012-09-02,111.51666666666668,29.58998046875,100.60000610351562,2049,15.918095291019256,0,0
16,biking,2016-11-27,113.98333333333332,38.554609375,385.7999877929688,1231,20.93235391446748,130,130
17,biking,2014-07-04,29.266666666666666,16.99430078125,133.79998779296875,259,35.83327438737361,106,133
20,biking,2017-08-08,165.68333333333334,46.9211015625,476.2000122070313,1965,18.55343246206277,151,151
22,biking,2013-09-13,47.21666666666667,15.59976953125,756.0000610351562,216,23.82310065360456,130,130
23,biking,2013-04-13,26.23333333333333,9.3359697265625,60.80000153183937,194,22.835997683273483,0,0
25,biking,2012-03-30,92.88333333333334,32.41816015625,91.20001220703124,1333,20.937319799519823,0,0
26,biking,,115.05,43.84303125,1.60003662109375,614,0.0,146,146
27,biking,2016-05-21,22.33333333333333,7.2349599609375,268.99999618530273,222,31.78726861315972,125,125
28,biking,2016-08-31,115.78333333333332,32.96055859375,911.800048828125,1310,20.06110036243197,209,209
29,biking,2017-03-30,74.35,23.993109375,328.4000244140625,558,26.45906710349092,121,121
32,biking,2016-11-16,203.01666666666668,64.1524609375,558.1999816894531,2324,18.959051785715697,0,0
33,biking,2017-05-26,90.76666666666668,38.2835390625,260.20001220703125,715,25.29354123071425,0,0
34,biking,2012-07-21,84.56666666666666,12.6938896484375,124.4000244140625,687,9.4353380185475,0,0
35,biking,2017-07-29,187.85,57.3954609375,189.3999938964844,1538,27.023350724147964,124,124
37,biking,2017-05-06,123.18333333333334,39.4281796875,620.3999633789062,1157,19.73831357086037,0,0
38,biking,2012-01-24,184.71666666666667,67.921796875,367.40000915527344,1127,24.505324410372147,0,0
39,biking,2015-02-27,37.13333333333333,16.646599609375,218.0,242,26.88502282687288,135,135
40,biking,2013-04-04,27.15,6.5305498046875,507.0,362,14.612220842344472,117,117
41,biking,2017-02-08,219.56666666666663,94.398921875,485.7999877929688,2352,26.678922947962167,188,188
42,biking,2013-10-06,296.5833333333333,163.576765625,409.59999990463257,3849,33.086144516095125,126,190
43,biking,2015-03-07,71.65,34.66476953125,98.39999389648438,719,31.0220169693037,174,174
44,biking,2015-06-21,58.21666666666667,12.2772197265625,46.80000305175781,296,15.617146419062747,0,0
45,biking,2013-04-30,68.7,28.6567109375,134.39999389648438,462,31.6668295269498,138,138
46,biking,2017-07-13,137.63333333333333,27.139599609375,78.5999755859375,1440,14.373722590083222,110,164
47,biking,2014-09-08,158.38333333333333,73.999921875,535.3999938964844,1841,28.19982655025468,138,138
48,biking,2014-05-19,115.9,52.55933984375,249.99996948242188,961,27.21319555742037,133,133
49,biking,2014-08-01,90.85,10.6299599609375,149.1999969482422,603,11.605263169546603,0,0
50,biking,2012-07-07,145.06666666666666,18.285189453125,202.4000244140625,932,10.155361712522172,0,0
51,biking,2013-02-23,174.6,67.6710390625,95.39999693632126,813,23.656976269114534,0,0
52,biking,2013-07-20,96.06666666666666,53.41991015625,199.6000061035156,2117,34.060848211544005,125,125
53,biking,2012-12-23,100.15,23.966279296875,648.3999633789062,742,14.432193929347369,0,0
55,biking,2015-09-18,191.06666666666663,48.3847109375,262.20001220703125,1012,26.30151708603693,0,0
56,biking,2013-06-28,27.416666666666668,8.8931103515625,52.80001831054688,126,19.02264637184261,0,0
57,biking,2017-04-16,132.2,51.28755859375,577.0000305175781,1302,27.6382192326245,0,0
58,biking,2012-08-28,13.783333333333331,9.5922197265625,4.399993896484375,204,41.70530315896738,0,0
59,biking,2013-06-09,53.2,7.839740234375,159.79998779296875,389,12.88494239628701,0,0
60,biking,2012-11-25,10.2,4.881580078125,16.199981689453125,152,28.668333248368693,0,0
61,biking,2014-03-09,60.0,14.533330078125,190.20001220703125,506,15.243767909684186,0,0
64,biking,2017-04-14,112.03333333333332,53.6744609375,97.4000244140625,852,44.20146349755043,0,0
65,biking,2017-04-19,173.88333333333333,66.057078125,456.7999877929688,2106,22.78239558617336,0,0
66,biking,2013-06-14,53.11666666666667,11.9541396484375,149.0,317,13.75653998843449,0,0
67,biking,2017-03-03,4.15,2.0352900390625,91.80000114440918,109,29.19141091882472,118,118
69,biking,2015-02-18,137.11666666666667,61.59569140625,469.1999816894531,1575,28.07135303458288,142,142
70,biking,,31.633333333333333,12.3311103515625,7.79998779296875,219,0.0,104,104
71,biking,2012-06-14,113.51666666666668,34.73769140625,939.2000122070312,921,19.74547493580553,0,0
72,biking,2015-06-17,219.53333333333333,109.9930625,525.5999755859375,1910,31.92498711969664,0,0
73,biking,2017-03-03,39.53333333333333,14.6073798828125,65.20000076293945,209,23.26600383240733,110,110
74,biking,2017-03-04,167.1,79.112890625,234.20000076293945,1807,28.813782502040976,119,140
75,biking,2016-11-13,163.53333333333333,57.6938984375,417.6000061035156,1617,22.024195382736107,0,0
76,biking,,40.13333333333333,14.9769296875,3.0,219,0.0,104,104
77,biking,2017-08-14,79.83333333333333,27.372009765625,595.4000244140625,1031,20.560394648697613,113,113
79,biking,2013-08-20,166.58333333333334,72.8262734375,749.7999572753906,1326,27.09898905802457,139,139
80,biking,2016-08-23,166.43333333333334,49.1837109375,908.2000122070312,1784,18.651839360187264,143,143
81,biking,2017-07-11,91.76666666666668,67.145640625,337.9999694824219,1059,44.07294789393555,0,0
83,biking,2017-04-08,198.66666666666663,26.202609375,384.8000183105469,1168,9.971798663016642,0,0
84,biking,2013-06-01,11.5,8.2022099609375,47.5999755859375,198,42.208778283642566,0,0
85,biking,2012-08-28,24.616666666666667,7.0504501953125,22.20001220703125,87,17.180787218529066,0,0
87,biking,2012-04-28,125.48333333333332,18.956970703125,133.39999389648438,790,11.591700439366155,0,0
88,biking,2014-08-07,204.26666666666668,88.48271875,572.6000061035156,2503,26.636181842805787,25,132
89,biking,2014-02-13,146.65,70.068828125,126.0,980,29.59401351653538,115,121
90,biking,2014-05-23,68.65,10.3579501953125,137.0,179,19.43348260542452,0,0
91,biking,2015-03-08,240.16666666666663,28.39469921875,251.3999938964844,631,21.602671237974373,0,0
92,biking,2013-09-15,122.01666666666668,46.900421875,195.6000061035156,599,26.742965975168985,105,121
93,biking,2012-04-26,112.5,8.2561103515625,386.7999877929688,840,10.145933168505785,0,0
